"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify My Account menu opens and shows Login option","755","Verify My Account menu","tests","2026-08-25","passed","2026-08-25","TestHome","test_home","",""
"Verify Continue button is displayed","1968","Continue button visibility","tests","2026-08-25","passed","2026-08-25","TestRegister","test_register","",""
"Verify validation errors for empty register credentials","8204","Submit empty register credentials","tests","2026-08-25","failed","2026-08-25","TestRegister","test_register","",""
"Search should return results","1470","Verify search results count","tests","2026-08-25","passed","2026-08-25","TestProducts","test_products","",""
"Verify that search input field is displayed","20","Verify search box visibility","tests","2026-08-25","passed","2026-08-25","TestHome","test_home","",""
"Verify error message when submitting empty login form","5315","Empty login submission","tests","2026-08-25","passed","2026-08-25","TestLogin","test_login","",""
"Verify cart page title is correct","760","Verify cart page title","tests","2026-08-25","failed","2026-08-25","TestCart","test_cart","",""
"The homepage should have a main carousel with at least one slide","36","Verify homepage main carousel exists","tests","2026-08-25","passed","2026-08-25","TestHome","test_home","",""
"Verify My Account dropdown contains options","769","Verify My Account dropdown options","tests","2026-08-25","passed","2026-08-25","TestHome","test_home","",""
"verify login button is visible","1866","Login button visibility","tests","2026-08-25","passed","2026-08-25","TestLogin","test_login","",""
"Verify cart item button is visible","761","Verify cart item button","tests","2026-08-25","passed","2026-08-25","TestCart","test_cart","",""
"All products returned by search must have non-empty names","1464","Verify all product names are valid","tests","2026-08-25","failed","2026-08-25","TestProducts","test_products","",""
"Verify that login page opens successfully","1871","Open login page","tests","2026-08-25","passed","2026-08-25","TestLogin","test_login","",""
"All displayed products must have valid names","1464","Verify product names are valid","tests","2026-08-25","passed","2026-08-25","TestProducts","test_products","",""
"Verify error message for invalid login credentials","5525","Invalid login attempt","tests","2026-08-25","passed","2026-08-25","TestLogin","test_login","",""
"Verify message displayed when cart is empty","765","Verify empty cart message","tests","2026-08-25","passed","2026-08-25","TestCart","test_cart","",""
"Verify that the site logo is visible on home page","19","Verify logo visibility","tests","2026-08-25","passed","2026-08-25","TestHome","test_home","",""
"Verify home page displays featured products","20","Verify featured products exist","tests","2026-08-25","passed","2026-08-25","TestHome","test_home","",""
"Verify that register account page opens","1830","Open register page","tests","2026-08-25","passed","2026-08-25","TestRegister","test_register","",""
"Verify product can be added to cart","2208","Add product to cart","tests","2026-08-25","passed","2026-08-25","TestCart","test_cart","",""
"Verify confirm password field is present","2085","Confirm password field visibility","tests","2026-08-25","passed","2026-08-25","TestRegister","test_register","",""
"Verify product details page opens","2202","Select product","tests","2026-08-25","passed","2026-08-25","TestProducts","test_products","",""
"Verify footer section exists on home page","24","Verify footer exists","tests","2026-08-25","passed","2026-08-25","TestHome","test_home","",""
"Verify Forgotten Password link is visible","1842","Forgot password link","tests","2026-08-25","passed","2026-08-25","TestLogin","test_login","",""
"Verify privacy policy must be accepted","3669","Privacy policy required","tests","2026-08-25","passed","2026-08-25","TestRegister","test_register","",""
"Verify product can be removed from cart","5354","Remove product from cart","tests","2026-08-25","passed","2026-08-25","TestCart","test_cart","",""
"Verify message when searching invalid product","1444","Invalid product search","tests","2026-08-25","passed","2026-08-25","TestProducts","test_products","",""
"Verify product in page title","1446","Search product","tests","2026-08-25","passed","2026-08-25","TestProducts","test_products","",""
"Verify that home page title contains 'Your Store'","4","Verify home page title","tests","2026-08-25","passed","2026-08-25","TestHome","test_home","",""
"Verify product is displayed for valid search","1458","product result in product page","tests","2026-08-25","passed","2026-08-25","TestProducts","test_products","",""
